HARGA,LT,LB,JKT,JKM,GRS
28000000000.00,1100,700,5,6,1
19000000000.00,824,800,4,4,1
4700000000.00,500,400,4,3,1
4900000000.00,251,300,5,4,1
28000000000.00,1340,575,4,5,1
10000000000.00,460,300,4,4,1
7600000000.00,278,350,4,4,1
5250000000.00,511,300,3,2,1
670000000.00,70,69,3,2,0
480000000.00,66,42,2,1,0
10700000000.00,449,500,6,7,1
4200000000.00,109,188,2,3,1
8500000000.00,320,250,4,4,1
7000000000.00,384,400,4,4,1
20000000000.00,462,645,5,6,1
9500000000.00,212,300,4,4,1
13400000000.00,342,450,5,4,1
11000000000.00,410,700,4,4,1
5800000000.00,144,285,4,3,1
35000000000.00,985,400,4,3,1
14000000000.00,780,500,3,4,1
5000000000.00,217,450,4,4,1
40000000000.00,1500,700,4,4,1
7250000000.00,210,300,4,3,1
5200000000.00,110,200,3,3,1
25000000000.00,760,650,4,4,1
5680000000.00,151,245,3,3,1
10500000000.00,220,350,4,3,1
7050000000.00,128,315,3,3,1
9300000000.00,235,270,3,3,0
6500000000.00,100,250,4,3,1
68000000000.00,470,1000,5,5,1
3000000000.00,75,150,4,2,1
85000000000.00,770,500,4,4,1
19500000000.00,610,1000,6,5,1
20900000000.00,754,500,4,4,1
15500000000.00,440,350,4,3,1
14000000000.00,410,800,4,4,1
39000000000.00,973,1100,4,3,1
8000000000.00,251,320,4,4,1
20000000000.00,780,600,4,4,1
17500000000.00,954,600,4,3,1
34000000000.00,1186,900,6,5,1
7500000000.00,186,380,4,4,1
18500000000.00,358,500,4,5,1
5000000000.00,217,200,4,3,1
16000000000.00,535,600,4,4,1
13000000000.00,330,500,3,3,1
8000000000.00,250,320,4,3,1
17500000000.00,477,530,4,4,1
10500000000.00,282,450,4,4,1
35500000000.00,1312,850,5,4,1
16000000000.00,860,500,4,4,1
11700000000.00,246,347,4,3,1
18500000000.00,443,450,4,3,1
17500000000.00,389,400,4,3,1
6500000000.00,300,450,4,3,1
18500000000.00,433,600,4,4,1
25000000000.00,987,400,4,3,1
23000000000.00,817,500,6,4,1
12990000000.00,876,428,5,4,1
15000000000.00,887,300,3,2,1
13000000000.00,384,425,5,4,1
33000000000.00,458,400,4,4,1
9500000000.00,200,235,3,3,1
5750000000.00,144,285,4,4,1
19000000000.00,358,600,4,5,0
19000000000.00,550,480,4,4,1
21500000000.00,950,300,5,4,1
5200000000.00,164,140,3,3,1
14000000000.00,460,400,4,3,1
55000000000.00,1487,1200,6,4,1
6250000000.00,158,400,4,2,1
29000000000.00,1186,800,9,8,1
8000000000.00,323,317,5,4,1
8500000000.00,502,250,4,4,1
18000000000.00,916,147,5,7,1
4500000000.00,109,188,2,3,1
10000000000.00,395,450,5,5,1
4250000000.00,152,275,3,3,1
4500000000.00,138,250,5,4,0
2800000000.00,100,150,3,3,0
15000000000.00,2010,800,4,3,1
7800000000.00,188,367,3,3,1
21000000000.00,500,525,4,5,1
38000000000.00,1229,800,4,4,1
29950000000.00,1000,600,4,4,1
7500000000.00,350,350,6,6,0
25000000000.00,987,400,4,3,0
36000000000.00,626,500,5,3,1
20000000000.00,472,650,6,5,0
29000000000.00,1186,600,8,9,0
5500000000.00,234,115,2,2,1
16590000000.00,405,495,4,4,1
33500000000.00,1000,800,5,6,0
21000000000.00,802,904,4,3,1
7720000000.00,125,298,4,4,1
22000000000.00,1019,650,4,3,1
18500000000.00,180,600,4,4,1
16500000000.00,933,600,5,5,1
11980000000.00,241,572,4,5,1
8500000000.00,250,250,4,4,1
7700000000.00,190,350,3,2,1
4200000000.00,270,300,4,4,1
15700000000.00,860,325,5,4,1
17000000000.00,916,147,5,7,1
8000000000.00,323,317,5,4,1
9550000000.00,251,288,3,3,1
7600000000.00,278,350,4,4,1
10200000000.00,320,360,6,4,1
5900000000.00,240,350,4,4,1
6000000000.00,178,309,4,3,1
10800000000.00,438,540,6,5,1
55000000000.00,1500,1200,7,6,1
14000000000.00,714,750,5,3,0
6900000000.00,358,450,4,3,1
55000000000.00,1497,1200,5,5,1
17500000000.00,1056,600,5,5,1
3500000000.00,100,156,5,4,1
15500000000.00,340,500,4,4,1
6900000000.00,188,350,3,3,0
16000000000.00,407,575,5,4,1
11900000000.00,241,571,4,5,1
7500000000.00,188,351,3,3,1
40000000000.00,1500,700,4,4,1
12500000000.00,371,300,4,4,0
11000000000.00,438,540,8,4,0
55000000000.00,1500,1200,6,6,1
12000000000.00,512,350,3,4,0
6500000000.00,230,400,4,4,1
13940000000.00,539,610,4,4,0
5700000000.00,168,170,3,3,0
8000000000.00,350,350,10,5,0
6900000000.00,128,315,3,3,0
8000000000.00,190,420,4,4,1
5500000000.00,107,311,4,3,1
10700000000.00,400,300,4,3,1
21000000000.00,1042,552,5,4,1
6500000000.00,200,300,4,4,1
16000000000.00,447,500,4,4,1
13500000000.00,385,525,5,4,1
15750000000.00,1060,375,3,2,1
23000000000.00,558,553,8,6,1
21000000000.00,1042,550,7,6,1
19300000000.00,1287,700,5,3,1
4300000000.00,124,187,3,3,1
20000000000.00,550,650,4,4,1
9550000000.00,251,288,4,4,0
22000000000.00,455,570,4,5,1
23000000000.00,650,600,5,5,1
55000000000.00,1500,1000,5,6,1
17500000000.00,430,820,5,6,1
8000000000.00,299,400,4,4,1
4600000000.00,109,180,2,3,1
15000000000.00,714,750,5,5,1
18000000000.00,600,400,6,6,1
1370000000.00,425,216,4,4,0
21000000000.00,1100,700,5,4,0
12000000000.00,315,609,5,4,1
24300000000.00,1944,1944,5,4,1
8000000000.00,380,450,5,5,1
18900000000.00,470,660,4,4,0
3200000000.00,78,65,3,2,1
21900000000.00,377,260,6,5,1
5600000000.00,269,300,4,4,1
5000000000.00,176,400,5,2,1
15000000000.00,714,750,5,5,1
4800000000.00,276,200,4,3,1
17000000000.00,663,530,7,8,1
7800000000.00,250,300,4,4,1
15000000000.00,755,416,7,6,1
13500000000.00,384,450,4,4,1
26500000000.00,1047,500,5,3,1
7500000000.00,170,300,4,3,1
11900000000.00,239,568,4,4,1
17500000000.00,477,520,4,3,1
15500000000.00,633,530,5,3,1
5500000000.00,188,314,4,4,1
9900000000.00,741,411,5,5,1
8650000000.00,225,518,4,4,1
3650000000.00,78,185,3,3,1
18500000000.00,660,600,5,4,1
3600000000.00,164,150,4,4,1
3400000000.00,95,156,4,3,1
18000000000.00,786,1000,6,7,1
17900000000.00,450,400,4,3,1
4500000000.00,124,184,3,3,0
4500000000.00,300,235,4,4,1
18000000000.00,600,500,6,6,1
15000000000.00,741,750,5,5,1
8000000000.00,380,450,5,5,1
18900000000.00,470,660,4,4,0
21900000000.00,377,260,6,5,1
5600000000.00,269,300,4,4,1
4000000000.00,117,221,4,3,1
20980000000.00,959,455,6,5,1
3400000000.00,95,156,4,3,1
25000000000.00,1100,550,5,4,1
11500000000.00,400,416,5,3,1
11510000000.00,233,544,7,7,0
3600000000.00,78,185,4,4,0
15000000000.00,250,460,4,4,1
17500000000.00,518,450,5,7,1
4000000000.00,117,221,4,3,1
8000000000.00,350,350,2,1,0
20000000000.00,550,600,5,5,1
30000000000.00,555,527,8,6,1
27000000000.00,670,650,4,4,1
20000000000.00,1040,600,4,3,1
15750000000.00,598,243,4,4,1
34500000000.00,974,800,5,6,1
4300000000.00,124,184,3,3,1
8500000000.00,230,310,5,3,0
9500000000.00,225,400,3,3,1
19000000000.00,520,500,5,5,1
13000000000.00,208,458,4,3,1
11900000000.00,239,568,4,4,1
13000000000.00,616,600,5,4,1
20000000000.00,890,600,5,5,1
7500000000.00,186,380,3,3,1
6150000000.00,158,400,3,3,1
10500000000.00,500,700,4,4,1
13500000000.00,384,450,4,4,1
55000000000.00,1475,1200,5,6,1
19000000000.00,358,635,4,5,1
13900000000.00,450,248,4,4,1
29500000000.00,923,429,9,5,0
22000000000.00,455,570,4,5,1
60000000000.00,1500,1200,6,6,1
13000000000.00,314,450,4,4,1
16000000000.00,895,420,5,5,1
18000000000.00,968,600,4,3,1
30000000000.00,1000,800,5,6,1
47000000000.00,1375,1400,5,5,1
6000000000.00,206,300,4,4,1
9550000000.00,251,288,4,5,0
32000000000.00,973,1100,5,5,1
19000000000.00,435,650,4,4,1
55000000000.00,1500,1200,6,6,1
17000000000.00,624,557,6,5,0
19000000000.00,870,700,6,4,1
14700000000.00,474,455,4,5,1
13800000000.00,260,360,6,5,1
15000000000.00,450,400,4,3,0
10000000000.00,160,250,3,4,1
6250000000.00,150,440,3,2,1
7800000000.00,200,390,4,4,1
6800000000.00,137,285,4,3,1
15000000000.00,398,500,5,4,1
19000000000.00,916,1000,5,7,0
6750000000.00,217,193,4,4,0
28000000000.00,330,300,3,3,1
17000000000.00,921,310,3,3,1
11900000000.00,260,365,4,4,1
9530000000.00,150,523,3,3,0
10400000000.00,282,280,4,3,1
6500000000.00,138,290,4,3,1
15000000000.00,658,500,3,3,1
6000000000.00,200,272,4,4,1
6900000000.00,137,315,3,2,1
16000000000.00,521,470,7,6,1
19000000000.00,400,788,4,3,1
25000000000.00,865,450,4,4,1
15500000000.00,1100,600,4,4,1
12600000000.00,540,800,5,4,0
7900000000.00,228,465,4,4,1
20000000000.00,462,645,5,5,1
5000000000.00,143,200,3,3,1
18000000000.00,1900,650,6,6,1
1100000000.00,90,180,3,3,1
6500000000.00,427,300,4,4,1
17000000000.00,407,850,6,5,1
6500000000.00,217,195,4,3,1
8500000000.00,307,400,4,5,1
13500000000.00,429,600,5,4,1
850000000.00,76,60,2,2,0
14000000000.00,460,500,5,4,1
11200000000.00,371,250,6,3,1
7700000000.00,200,373,4,3,1
10000000000.00,388,343,4,4,1
13500000000.00,282,380,4,4,1
13000000000.00,410,800,4,4,0
27000000000.00,660,800,5,4,1
19000000000.00,435,650,4,4,1
7000000000.00,384,400,4,4,1
27500000000.00,1068,300,5,3,1
17000000000.00,465,640,3,4,0
10000000000.00,475,600,5,5,0
6800000000.00,210,275,3,2,1
21000000000.00,754,500,4,4,1
25000000000.00,1340,600,8,5,1
16000000000.00,521,471,5,5,1
6000000000.00,329,500,5,3,0
21000000000.00,1018,600,4,4,0
33000000000.00,1100,450,4,4,1
2790000000.00,180,250,3,3,1
8500000000.00,307,400,7,6,0
1930000000.00,111,135,3,3,0
14000000000.00,410,800,4,4,1
12750000000.00,500,400,4,3,0
5000000000.00,188,260,4,3,1
25000000000.00,1040,600,4,3,0
25000000000.00,1000,600,9,5,1
85500000000.00,1500,1300,5,5,1
5400000000.00,165,297,3,3,1
14000000000.00,380,350,6,4,1
5600000000.00,151,254,4,3,1
38000000000.00,1390,750,6,4,0
30000000000.00,557,400,4,3,0
17500000000.00,518,450,5,7,1
39500000000.00,1960,900,5,4,1
15000000000.00,395,460,4,4,1
13000000000.00,235,623,5,5,0
8500000000.00,434,380,5,2,0
45000000000.00,836,600,4,4,1
10000000000.00,230,350,3,2,1
20000000000.00,425,500,5,4,1
5800000000.00,144,285,4,3,1
20900000000.00,754,500,4,4,1
24000000000.00,832,650,4,1,0
23000000000.00,800,400,4,4,1
9000000000.00,256,245,4,4,0
1350000000.00,72,150,3,3,0
23000000000.00,800,500,5,4,0
14000000000.00,464,350,4,3,1
15000000000.00,733,140,2,2,0
6500000000.00,500,400,17,18,1
6800000000.00,376,352,5,5,0
10500000000.00,320,360,6,4,1
20000000000.00,442,600,3,4,1
16000000000.00,895,420,5,4,1
15000000000.00,400,500,4,4,0
9000000000.00,240,380,3,3,1
33000000000.00,1750,700,6,6,1
6200000000.00,450,550,4,4,1
40000000000.00,600,500,8,5,1
14500000000.00,240,450,4,4,1
25000000000.00,900,600,4,3,0
6200000000.00,376,352,4,2,1
38000000000.00,2880,1000,7,6,1
9000000000.00,350,650,4,3,1
7000000000.00,251,325,3,3,0
9900000000.00,452,200,3,2,1
15000000000.00,291,400,4,4,1
16000000000.00,445,1200,6,6,1
9000000000.00,300,300,4,3,1
25000000000.00,700,500,4,4,1
10000000000.00,468,410,4,3,1
9500000000.00,350,430,4,4,0
30000000000.00,778,320,3,2,0
15000000000.00,923,900,5,4,0
20000000000.00,1050,650,4,4,1
15000000000.00,530,633,4,3,0
5900000000.00,188,314,4,4,0
185000000000.00,6790,10000,5,5,1
17800000000.00,430,500,4,4,1
11500000000.00,375,400,5,4,1
12000000000.00,340,600,11,11,1
50000000000.00,325,500,3,3,1
7900000000.00,266,475,4,4,1
7000000000.00,250,280,3,3,1
7000000000.00,230,400,4,4,1
20000000000.00,600,890,6,6,1
11000000000.00,575,210,4,3,1
22000000000.00,1860,400,4,4,1
20000000000.00,610,1000,6,6,0
16000000000.00,835,600,5,5,0
8750000000.00,158,400,3,3,1
39000000000.00,1900,1000,6,5,0
10500000000.00,424,313,7,4,1
14000000000.00,651,350,5,3,1
11000000000.00,400,225,4,3,1
24000000000.00,354,350,3,3,1
14500000000.00,600,500,5,4,1
8500000000.00,200,400,4,4,1
9900000000.00,611,500,7,4,1
21000000000.00,557,882,5,4,1
6000000000.00,144,250,4,3,1
14000000000.00,661,800,4,4,0
12900000000.00,539,610,4,4,1
17640000000.00,503,541,4,3,1
12000000000.00,600,500,4,4,1
10000000000.00,237,250,4,3,1
3790000000.00,248,248,4,2,0
9000000000.00,600,400,4,3,0
250000000000.00,6000,1500,5,5,1
9500000000.00,274,258,3,3,1
17500000000.00,518,450,5,7,1
8250000000.00,159,278,3,3,1
4300000000.00,123,190,3,3,0
4300000000.00,152,230,4,2,0
5620000000.00,122,311,3,3,1
3250000000.00,240,200,3,3,1
6500000000.00,144,285,4,3,1
25000000000.00,1020,800,5,3,1
23000000000.00,752,400,4,3,1
17700000000.00,860,750,5,4,1
7700000000.00,190,300,3,2,1
16000000000.00,465,640,4,4,1
6000000000.00,200,272,4,4,1
15000000000.00,500,765,4,4,1
25000000000.00,685,450,4,4,1
20000000000.00,910,450,5,4,1
15000000000.00,580,220,4,3,0
8500000000.00,246,221,3,3,1
4000000000.00,125,125,3,3,1
11500000000.00,400,300,3,3,1
27500000000.00,1010,605,6,6,1
6000000000.00,182,500,4,3,1
17500000000.00,477,550,4,4,1
17000000000.00,300,475,5,4,1
7500000000.00,259,410,4,3,1
28000000000.00,572,450,8,7,1
7000000000.00,349,349,9,5,1
9000000000.00,200,480,4,3,1
39000000000.00,973,1100,4,4,1
42000000000.00,2131,1600,5,5,1
4000000000.00,219,103,4,2,1
9000000000.00,490,350,4,3,1
25000000000.00,1000,800,4,3,1
3800000000.00,153,180,4,3,0
15000000000.00,506,400,3,3,0
17000000000.00,465,640,4,4,1
7300000000.00,278,350,4,4,1
8500000000.00,250,400,4,4,1
55000000000.00,2641,1000,4,3,1
17000000000.00,851,450,4,3,1
17000000000.00,392,327,4,4,1
10000000000.00,402,236,3,3,1
12000000000.00,254,370,4,4,1
10500000000.00,380,300,3,3,1
17500000000.00,417,560,4,4,1
5250000000.00,135,250,3,4,1
13500000000.00,565,380,3,3,1
10500000000.00,220,350,4,3,1
17000000000.00,440,350,4,4,1
7900000000.00,356,450,4,3,1
18600000000.00,474,455,4,4,0
35000000000.00,1200,900,6,6,1
25000000000.00,670,650,3,3,0
22000000000.00,754,500,4,4,1
68000000000.00,2595,1000,5,5,1
6500000000.00,266,350,4,4,1
2500000000.00,200,120,3,3,1
22000000000.00,754,500,4,4,1
22000000000.00,888,450,4,3,1
5100000000.00,120,210,4,3,0
9200000000.00,231,389,3,3,1
36000000000.00,1200,850,5,4,0
7900000000.00,205,357,4,4,0
5800000000.00,250,350,4,4,1
11000000000.00,230,350,4,4,1
4900000000.00,340,210,3,2,1
23000000000.00,806,700,4,4,1
17000000000.00,440,350,4,4,1
8200000000.00,188,330,3,3,1
9500000000.00,251,295,4,4,1
6500000000.00,266,350,4,3,1
27000000000.00,900,400,4,3,1
16500000000.00,600,400,7,4,1
35000000000.00,2000,800,4,4,0
6200000000.00,142,311,3,2,1
15000000000.00,912,484,6,3,1
9500000000.00,251,295,4,4,1
23000000000.00,806,700,4,4,1
7370000000.00,211,465,4,4,1
19500000000.00,850,750,3,2,1
5800000000.00,122,289,3,3,1
33000000000.00,1100,800,5,5,1
22500000000.00,500,536,5,5,1
4200000000.00,110,165,4,3,1
16950000000.00,387,250,1,1,1
13000000000.00,616,650,4,4,1
18000000000.00,670,385,4,4,1
7000000000.00,140,215,4,4,1
5000000000.00,234,350,4,4,1
38500000000.00,1420,550,8,5,1
15000000000.00,395,420,4,4,1
13500000000.00,230,400,3,2,1
13000000000.00,372,450,4,4,1
8500000000.00,250,400,4,4,1
17000000000.00,786,1000,6,7,0
43000000000.00,1350,750,5,5,1
13000000000.00,235,623,4,4,0
22000000000.00,1000,800,5,4,0
9950000000.00,212,300,4,3,1
12500000000.00,512,350,3,3,1
16000000000.00,578,500,5,4,1
22600000000.00,754,500,4,4,1
75000000000.00,1830,1000,5,4,1
30000000000.00,1100,500,4,4,1
20000000000.00,897,450,4,4,1
15000000000.00,733,140,2,2,1
19000000000.00,435,500,4,4,1
8700000000.00,229,327,4,3,1
25000000000.00,670,671,4,4,0
19000000000.00,520,600,4,4,0
35000000000.00,900,800,7,5,1
